Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Maria Serna,Europa,,1950s,1959,,Spanish computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Maria_Serna,Médio
Carmela Troncoso,Europa,Spain,1980s,1982,,Spanish telecommunication engineer (born 1982),activist; researcher; telecommunications engineer,,Vigo,,https://en.wikipedia.org/wiki/Carmela_Troncoso,Médio
Juani Bermejo Vega,Europa,Spain,1980s,1987,,"Spanish quantum computing researcher, and activist (born 1987)",physicist; professor; systems engineer,,Cáceres,,https://en.wikipedia.org/wiki/Juani_Bermejo_Vega,Médio
Virginia Dignum,Europa,Portugal,1960s,1964,,Computer scientist and artificial intelligence researcher,computer scientist,,,,https://en.wikipedia.org/wiki/Virginia_Dignum,Médio
Alexandra Silva,Europa,Portugal,1980s,1984,,Portuguese computer scientist,computer scientist,,Chaves,,https://en.wikipedia.org/wiki/Alexandra_Silva,Médio
Manuela M. Veloso,Europa,United States,1950s,1957,,Portuguese-American computer scientist,artificial intelligence researcher; computer scientist; university teacher,,Lisbon,,https://en.wikipedia.org/wiki/Manuela_M._Veloso,Médio
Karen Aardal,Europa,Norway,1960s,1961,,Norwegian and Dutch applied mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Karen_Aardal,Médio
Marjan van den Akker,Europa,,1960s,1965,,Dutch computer scientist and operations researcher,computer scientist; operations researcher,,,,https://en.wikipedia.org/wiki/Marjan_van_den_Akker,Médio
Rena Bakhshi,Europa,,1980s,1981,,Dutch computer scientist and mathematician,computer scientist,,,,https://en.wikipedia.org/wiki/Rena_Bakhshi,Médio
Frances Brazier,Europa,,1950s,1957,,Dutch computer scientist,computer scientist; professor; researcher; scientist,,Toronto,,https://en.wikipedia.org/wiki/Frances_Brazier,Médio
Edith Hemaspaandra,Europa,,1960s,1964,,Dutch-American theoretical computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Edith_Hemaspaandra,Médio
Marieke Huisman,Europa,Kingdom of the Netherlands,1970s,1973,,Dutch computer scientist,computer scientist,,Utrecht,,https://en.wikipedia.org/wiki/Marieke_Huisman,Médio
Catholijn Jonker,Europa,Kingdom of the Netherlands,1960s,1967,,Dutch computer scientist,university teacher,,,,https://en.wikipedia.org/wiki/Catholijn_Jonker,Médio
Jetty Kleijn,Europa,,1950s,1955,,Dutch computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Jetty_Kleijn,Médio
Monique Laurent,Europa,France,1960s,1960,,French computer scientist and mathematician,computer scientist; mathematician; researcher,,,,https://en.wikipedia.org/wiki/Monique_Laurent,Médio
Melanie Rieback,Europa,United States,1970s,1978,,Dutch-American computer scientist,computer scientist,,Cleveland,,https://en.wikipedia.org/wiki/Melanie_Rieback,Médio
Bettina Speckmann,Europa,,1970s,1972,,German computer scientist,computer scientist; mathematician; researcher; university teacher,,,,https://en.wikipedia.org/wiki/Bettina_Speckmann,Médio
Linda van der Gaag,Europa,,1950s,1959,,Dutch computer scientist,artificial intelligence researcher,,,,https://en.wikipedia.org/wiki/Linda_van_der_Gaag,Médio
Mihaela van der Schaar,Europa,,1970s,1971,,Computer scientist,researcher,,,,https://en.wikipedia.org/wiki/Mihaela_van_der_Schaar,Médio
Magdalena Bałazińska,Europa,United States,1900s,1901,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Magdalena_Bałazińska,Médio
Małgorzata Kalinowska-Iszkowska,Europa,Poland,1940s,1946,,Polish computer scientist (born 1946),computer scientist,,Warsaw,,https://en.wikipedia.org/wiki/Małgorzata_Kalinowska-Iszkowska,Médio
Marta Kwiatkowska,Europa,Poland,1950s,1957,,British computer scientist,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Marta_Kwiatkowska,Médio
Teresa Przytycka,Europa,,1950s,1958,,Polish-American computational biologist,computational biologist; computer scientist,,,,https://en.wikipedia.org/wiki/Teresa_Przytycka,Médio
Joanna Rutkowska,Europa,Poland,1980s,1981,,Polish hacker and computer security expert (born 1981),computer scientist,,Warsaw,,https://en.wikipedia.org/wiki/Joanna_Rutkowska,Médio
Elsa-Karin Boestad-Nilsson,Europa,Sweden,1920s,1925,,Swedish computing pioneer (1925–2020),mathematician; programmer,,Stockholm,,https://en.wikipedia.org/wiki/Elsa-Karin_Boestad-Nilsson,Médio
Gunilla Borgefors,Europa,,1950s,1952,,Swedish image processing researcher,computer scientist; information scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Gunilla_Borgefors,Médio
Simone Fischer-Hübner,Europa,,1960s,1963,,Researcher,computer scientist,,,,https://en.wikipedia.org/wiki/Simone_Fischer-Hübner,Médio
Kristina Höök,Europa,Sweden,1960s,1964,,Swedish computer scientist (born 1964),computer scientist; professor; researcher,,Lidingö Parish,,https://en.wikipedia.org/wiki/Kristina_Höök,Médio
Anne-Marie Eklund Löwinder,Europa,Sweden,1950s,1957,,Swedish Internet expert,computer scientist,,Katarina church parish,,https://en.wikipedia.org/wiki/Anne-Marie_Eklund_Löwinder,Médio
Karen Aardal,Europa,Norway,1960s,1961,,Norwegian and Dutch applied mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Karen_Aardal,Médio
Drude Berntsen,Europa,Norway,1930s,1939,,Norwegian computer scientist,computer scientist,,Eidsvoll Municipality,,https://en.wikipedia.org/wiki/Drude_Berntsen,Médio
Lilya Budaghyan,Europa,Soviet Union,1970s,1976,,"Norwegian-Armenian mathematician, computer scientist (born 1976)",computer scientist; mathematician,,Baku,,https://en.wikipedia.org/wiki/Lilya_Budaghyan,Médio
Sabita Maharjan,Europa,,1980s,1980,,Computer scientist,computer scientist,,Kathmandu,,https://en.wikipedia.org/wiki/Sabita_Maharjan,Médio
Kaisa Sere,Europa,Finland,1950s,1954,,Finnish computer scientist,computer scientist; engineer,,Kokkola,,https://en.wikipedia.org/wiki/Kaisa_Sere,Médio
Leena Suhl,Europa,Finland,1950s,1953,,Finnish-German operations researcher,computer scientist,,Kuopio,,https://en.wikipedia.org/wiki/Leena_Suhl,Médio
Joan Boyar,Europa,Kingdom of Denmark,1950s,1955,,American-Danish computer scientist,computer scientist; researcher,,Chicago,,https://en.wikipedia.org/wiki/Joan_Boyar,Médio
Hanne Riis Nielson,Europa,,1950s,1954,,Danish computer scientist,professor,,,,https://en.wikipedia.org/wiki/Hanne_Riis_Nielson,Médio
Edda Sveinsdottir,Europa,Kingdom of Denmark,1930s,1936,,Icelandic/Danish computer scientist (1936–2022),computer scientist; entrepreneur; inventor,,Reykjavík,,https://en.wikipedia.org/wiki/Edda_Sveinsdottir,Médio
Pearl Pu,Europa,Switzerland,1960s,1961,,Swiss computer scientist,artificial intelligence researcher; computer scientist,,Shanghai,,https://en.wikipedia.org/wiki/Pearl_Pu,Médio
Angelika Steger,Europa,Germany,1960s,1962,,Mathematician and computer scientist,computer scientist; mathematician,,Munich,,https://en.wikipedia.org/wiki/Angelika_Steger,Médio
Sabine Süsstrunk,Europa,Switzerland,1960s,1962,,Computer scientist,computer scientist; scientist; university teacher,,Solothurn,,https://en.wikipedia.org/wiki/Sabine_Süsstrunk,Médio
Nadia Magnenat Thalmann,Europa,Canada,1940s,1946,,Computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Nadia_Magnenat_Thalmann,Médio
Ivona Brandić,Europa,Austria,1970s,1977,,Austrian informatician,computer scientist; university teacher,,Gradačac,,https://en.wikipedia.org/wiki/Ivona_Brandić,Médio
Christiane Floyd,Europa,Austria,1940s,1943,,Austrian computer scientist,computer scientist; university teacher,,Vienna,,https://en.wikipedia.org/wiki/Christiane_Floyd,Médio
Gabriele Kotsis,Europa,Austria,1960s,1967,,Austrian university teacher,computer scientist; university teacher,,Vienna,,https://en.wikipedia.org/wiki/Gabriele_Kotsis,Médio
Johanna Pirker,Europa,Austria,1980s,1988,,"Austrian computer scientist, educator, and game designer",computer scientist,,,,https://en.wikipedia.org/wiki/Johanna_Pirker,Médio
Karin Schnass,Europa,Austria,1980s,1980,,Austrian mathematician and computer scientist,computer scientist; mathematician; university teacher,,Klosterneuburg,,https://en.wikipedia.org/wiki/Karin_Schnass,Médio
Barbora Bühnová,Europa,Czech Republic,1980s,1981,,Czech IT specialist and tech advocate (1981–2024),computer scientist; economist; information scientist; university teacher,,,,https://en.wikipedia.org/wiki/Barbora_Bühnová,Médio
Jessica Fridrich,Europa,Czech Republic,1960s,1964,,Czech professor,computer scientist; mathematician; speedcuber; university teacher,,Ostrava,,https://en.wikipedia.org/wiki/Jessica_Fridrich,Médio
Věra Kůrková,Europa,Czechoslovakia,1940s,1948,,Czech mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Věra_Kůrková,Médio
Gitta Kutyniok,Europa,Germany,1970s,1972,,German applied mathematician (born 1972),mathematician; university teacher,,Bielefeld,,https://en.wikipedia.org/wiki/Gitta_Kutyniok,Médio
Mirka Miller,Europa,,1940s,1949,,Czech-Australian mathematician and computer scientist,computer scientist; mathematician; university teacher,,Rumburk,,https://en.wikipedia.org/wiki/Mirka_Miller,Médio
Dita Přikrylová,Europa,Czech Republic,1980s,1989,,Czech NGO Czechitas founder,computer scientist; manager,,,,https://en.wikipedia.org/wiki/Dita_Přikrylová,Médio
Lenka Zdeborová,Europa,Czech Republic,1980s,1980,,Czech physics researcher,computer scientist; physicist; researcher; scientist,,Plzeň,,https://en.wikipedia.org/wiki/Lenka_Zdeborová,Médio
Lyudmila Bosova,Europa,Soviet Union,1960s,1963,,Russian educator and author,computer scientist; pedagogue,,Soviet Union,,https://en.wikipedia.org/wiki/Lyudmila_Bosova,Médio
Marina Gavrilova,Europa,,1970s,1971,,Russian-Canadian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Marina_Gavrilova,Médio
Natalya Kaspersky,Europa,Soviet Union,1960s,1966,,Russian IT entrepreneur (born 1966),computer scientist; entrepreneur,,Moscow,,https://en.wikipedia.org/wiki/Natalya_Kaspersky,Médio
Maria Korovina,Europa,Soviet Union,1960s,1962,,Russian mathematician (born 1962),computer scientist; mathematician,,Moscow,,https://en.wikipedia.org/wiki/Maria_Korovina,Médio
Svetlana Selezneva,Europa,Soviet Union,1960s,1969,,Russian mathematician,computer scientist; mathematician,,Korosten,,https://en.wikipedia.org/wiki/Svetlana_Selezneva,Médio
Irina Shevtsova,Europa,Soviet Union,1980s,1983,,Russian mathematician,computer scientist; mathematician,,Mineralnye Vody,,https://en.wikipedia.org/wiki/Irina_Shevtsova,Médio
Rozetta Zhilina,Europa,Soviet Union,1930s,1933,,Soviet mathematician and computer scientist,computer scientist; mathematician,,Saint Petersburg,,https://en.wikipedia.org/wiki/Rozetta_Zhilina,Médio
Tülay Adalı,América do Norte,Turkey,1960s,1965,,Professor of Computer Science and Electrical Engineering,computer scientist; researcher; university teacher,,,,https://en.wikipedia.org/wiki/Tülay_Adalı,Médio
Jeanne Clare Adams,América do Norte,,1920s,1921,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Jeanne_Clare_Adams,Médio
Anastasia Ailamaki,América do Norte,Greece,1960s,1968,,Greek/Swiss computer scientist,computer scientist; engineer,,Nicosia,,https://en.wikipedia.org/wiki/Anastasia_Ailamaki,Médio
Frances Allen,América do Norte,United States,1930s,1932,,American computer scientist (1932–2020),computer scientist; engineer; university teacher,,Peru,,https://en.wikipedia.org/wiki/Frances_Allen,Médio
Ilkay Altintas,América do Norte,Turkey,1970s,1977,,Turkish-American data and computer scientist (born 1977),computer scientist; data scientist,,Aydın,,https://en.wikipedia.org/wiki/Ilkay_Altintas,Médio
Nancy M. Amato,América do Norte,United States,1950s,1950,,American computer scientist,computer scientist; engineer,,Portland,,https://en.wikipedia.org/wiki/Nancy_M._Amato,Médio
Anuradha Annaswamy,América do Norte,,1950s,1956,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Anuradha_Annaswamy,Médio
Kathleen Antonelli,América do Norte,United States,1920s,1921,,Irish–American computer programmer (1921–2006),computer scientist; mathematician; programmer,,Creeslough,,https://en.wikipedia.org/wiki/Kathleen_Antonelli,Médio
Cecilia R. Aragon,América do Norte,United States,1960s,1960,,"American computer scientist, author, and aerobatic pilot",academic; aerobatics pilot; computer scientist; university teacher,,Illinois,,https://en.wikipedia.org/wiki/Cecilia_R._Aragon,Médio
Winifred Asprey,América do Norte,United States,1910s,1917,,American computer scientist and mathematician,computer scientist; engineer; mathematician; university teacher,,Sioux City,,https://en.wikipedia.org/wiki/Winifred_Asprey,Médio
Donna Auguste,América do Norte,United States,1950s,1958,,"African-American businesswoman, entrepreneur, philanthropist and engineer",businessperson; computer scientist; engineer; entrepreneur; philanthropist,,Texas,,https://en.wikipedia.org/wiki/Donna_Auguste,Médio
Henriette Avram,América do Norte,United States,1910s,1919,,American computer programmer and system analyst,computer scientist; engineer; librarian; programmer,,Manhattan,,https://en.wikipedia.org/wiki/Henriette_Avram,Médio
Rebecca Bace,América do Norte,United States,1950s,1955,,American computer security expert,computer scientist,,Leeds,,https://en.wikipedia.org/wiki/Rebecca_Bace,Médio
Ruzena Bajcsy,América do Norte,Czechoslovakia,1930s,1933,,American computer scientist,artificial intelligence researcher; computer scientist; engineer,,Bratislava,,https://en.wikipedia.org/wiki/Ruzena_Bajcsy,Médio
Erica Baker,América do Norte,United States,1980s,1980,,Engineer and engineering manager (born 1980),computer scientist; manager; programmer,,Germany,,https://en.wikipedia.org/wiki/Erica_Baker,Médio
Magdalena Bałazińska,América do Norte,United States,1900s,1901,,Computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Magdalena_Bałazińska,Médio
Jean Bartik,América do Norte,United States,1920s,1924,,American computer programmer (1924–2011),computer scientist; mathematician; programmer; technical writer,,Alanthus Grove,,https://en.wikipedia.org/wiki/Jean_Bartik,Médio
Regina Barzilay,América do Norte,Israel,1970s,1970,,Israeli-American computer scientist,computer scientist; professor; researcher,,Chișinău,,https://en.wikipedia.org/wiki/Regina_Barzilay,Médio
Cynthia Beath,América do Norte,United States,1940s,1944,,American computer scientist,computer scientist; economist; university teacher,,,,https://en.wikipedia.org/wiki/Cynthia_Beath,Médio
Terry Benzel,América do Norte,,1950s,1956,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Terry_Benzel,Médio
Evelyn Berezin,América do Norte,United States,1920s,1925,,American computer scientist,computer scientist; engineer; inventor; venture capitalist,,The Bronx,,https://en.wikipedia.org/wiki/Evelyn_Berezin,Médio
Marsha Berger,América do Norte,United States,1950s,1953,,American computer scientist,academic; computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Marsha_Berger,Médio
Francine Berman,América do Norte,United States,1950s,1951,,American computer scientist,computer scientist; university teacher,,Glendale,,https://en.wikipedia.org/wiki/Francine_Berman,Médio
Gina Bianchini,América do Norte,United States,1970s,1972,,American entrepreneur and investor,computer scientist,,,,https://en.wikipedia.org/wiki/Gina_Bianchini,Médio
Dorothy Blum,América do Norte,United States,1920s,1924,,American computer scientist and cryptanalyst (1924–1980),computer scientist; cryptanalyst,,New York City,,https://en.wikipedia.org/wiki/Dorothy_Blum,Médio
Lenore Blum,América do Norte,United States,1940s,1942,,USA computer scientist and mathematician,computer scientist; mathematician; university teacher,,New York City,,https://en.wikipedia.org/wiki/Lenore_Blum,Médio
Sharla Boehm,América do Norte,United States,1920s,1929,,American computer scientist (1929–2023),computer scientist; school teacher,,Seattle,,https://en.wikipedia.org/wiki/Sharla_Boehm,Médio
Gloria Bolotsky,América do Norte,United States,1920s,1921,,American computer scientist,computer scientist,,New York City,,https://en.wikipedia.org/wiki/Gloria_Bolotsky,Médio
Alexandra Boltasseva,América do Norte,United States,1970s,1978,,American physicist and engineer,computer scientist; physicist,,Kanash,,https://en.wikipedia.org/wiki/Alexandra_Boltasseva,Médio
Anita Borg,América do Norte,United States,1940s,1949,,American computer scientist,computer scientist; engineer,,Chicago,,https://en.wikipedia.org/wiki/Anita_Borg,Médio
Katie Bouman,América do Norte,United States,1980s,1989,,American computer scientist (born 1989),computer scientist; electrical engineer,,West Lafayette,,https://en.wikipedia.org/wiki/Katie_Bouman,Médio
Aisha Bowe,América do Norte,United States,1980s,1986,,American aerospace engineer (born 1986),military flight engineer,,Ann Arbor,,https://en.wikipedia.org/wiki/Aisha_Bowe,Médio
Joan Boyar,América do Norte,Kingdom of Denmark,1950s,1955,,American-Danish computer scientist,computer scientist; researcher,,Chicago,,https://en.wikipedia.org/wiki/Joan_Boyar,Médio
Elizabeth Bradley (mathematician and rower),América do Norte,United States,1960s,1961,,American mathematician and rower,rower,,New York City,,https://en.wikipedia.org/wiki/Elizabeth_Bradley_(mathematician_and_rower),Médio
Deborah Washington Brown,América do Norte,United States,1950s,1952,,American computer scientist (1952–2020),computer scientist; inventor; mathematician; piano teacher; university teacher,,"Washington, D.C.",,https://en.wikipedia.org/wiki/Deborah_Washington_Brown,Médio
Kimberly Bryant (technologist),América do Norte,United States,1960s,1967,,African American electrical engineer,engineer,,Memphis,,https://en.wikipedia.org/wiki/Kimberly_Bryant_(technologist),Médio
Joy Buolamwini,América do Norte,Canada,1980s,1989,,Computer scientist and digital activist,computer scientist,,Edmonton,,https://en.wikipedia.org/wiki/Joy_Buolamwini,Médio
Margaret Burnett,América do Norte,United States,1940s,1949,,American computer scientist,author; computer scientist,,Springfield,,https://en.wikipedia.org/wiki/Margaret_Burnett,Médio
Terri Burns,América do Norte,,1990s,1994,,Investor,engineer; programmer; software engineer,,,,https://en.wikipedia.org/wiki/Terri_Burns,Médio
Margaret K. Butler,América do Norte,United States,1920s,1924,,American mathematician,computer scientist; mathematician,,Evansville,,https://en.wikipedia.org/wiki/Margaret_K._Butler,Médio
Tracy Camp,América do Norte,United States,1960s,1964,,American computer scientist,computer scientist; university teacher,,Detroit,,https://en.wikipedia.org/wiki/Tracy_Camp,Médio
Doris Carver,América do Norte,,1940s,1946,,American computer scientist (1946–2024),computer scientist; software engineer,,,,https://en.wikipedia.org/wiki/Doris_Carver,Médio
Karen Catlin,América do Norte,,1960s,1963,,American tech executive (born 1963),computer scientist,,Westerly,,https://en.wikipedia.org/wiki/Karen_Catlin,Médio
Barbara Chapman,América do Norte,,1950s,1954,,Computer scientist,computer scientist; scientist,,,,https://en.wikipedia.org/wiki/Barbara_Chapman,Médio
Jennifer Tour Chayes,América do Norte,United States,1950s,1956,,American computer scientist and mathematician,academic administrator; computer scientist; mathematician; physicist; university teacher,,New York City,,https://en.wikipedia.org/wiki/Jennifer_Tour_Chayes,Médio
Lorinda Cherry,América do Norte,United States,1940s,1944,,Computer scientist and original Unix team member (1944–2022),computer scientist; dog trainer; rally driver,,,,https://en.wikipedia.org/wiki/Lorinda_Cherry,Médio
Judy Clapp,América do Norte,United States,1930s,1930,,American computer scientist (born 1930),computer scientist,,Long Island,,https://en.wikipedia.org/wiki/Judy_Clapp,Médio
Lori A. Clarke,América do Norte,United States,1970s,1970,,American computer scientist,computer scientist; university teacher,,New York City,,https://en.wikipedia.org/wiki/Lori_A._Clarke,Médio
Elaine Cohen,América do Norte,United States,1940s,1944,,American mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Elaine_Cohen,Médio
Lynn Conway,América do Norte,United States,1930s,1938,,American computer scientist and electrical engineer (1938–2024),computer scientist; electrical engineer; inventor,,Mount Vernon,,https://en.wikipedia.org/wiki/Lynn_Conway,Médio
Diane J. Cook,América do Norte,,1960s,1963,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Diane_J._Cook,Médio
Danese Cooper,América do Norte,United States,1950s,1959,,American open source software advocate,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Danese_Cooper,Médio
Corinna Cortes,América do Norte,Kingdom of Denmark,1960s,1961,,Danish computer scientist (born 1961),artificial intelligence researcher; computer scientist,,Denmark,,https://en.wikipedia.org/wiki/Corinna_Cortes,Médio
Marian Croak,América do Norte,United States,1950s,1955,,American engineer and inventor,computer scientist; executive,,New York City,,https://en.wikipedia.org/wiki/Marian_Croak,Médio
Leah Culver,América do Norte,United States,1980s,1982,,American computer scientist and entrepreneur,blogger; computer scientist,,,,https://en.wikipedia.org/wiki/Leah_Culver,Médio
Raissa D'Souza,América do Norte,United States,1960s,1969,,American computer scientist,computer scientist,,Chicago,,https://en.wikipedia.org/wiki/Raissa_D'Souza,Médio
Dilma Da Silva,América do Norte,Brazil,1960s,1965,,Brazilian-American systems software researcher,computer scientist,,São Paulo,,https://en.wikipedia.org/wiki/Dilma_Da_Silva,Médio
Weili Dai,América do Norte,United States,1960s,1961,,Chinese-born American businesswoman,businessperson; computer scientist,,Shanghai,,https://en.wikipedia.org/wiki/Weili_Dai,Médio
Shaundra Daily,América do Norte,United States,1970s,1979,,American professor and author (born 1979),computer scientist,,Nashville,,https://en.wikipedia.org/wiki/Shaundra_Daily,Médio
Andrea Danyluk,América do Norte,United States,1960s,1963,,American computer scientist (1963–2022),computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Andrea_Danyluk,Médio
Frederica Darema,América do Norte,United States,1940s,1940,,American computer scientist,computer scientist; engineer; physicist,,Athens,,https://en.wikipedia.org/wiki/Frederica_Darema,Médio
Bita Daryabari,América do Norte,United States,1960s,1969,,"Iranian-American philanthropist, entrepreneur, computer scientist",computer scientist; entrepreneur; philanthropist,,Tehran,,https://en.wikipedia.org/wiki/Bita_Daryabari,Médio
Ruth A. David,América do Norte,United States,1950s,1953,,American engineer,engineer,,Arkansas City,,https://en.wikipedia.org/wiki/Ruth_A._David,Médio
Margaret Oakley Dayhoff,América do Norte,United States,1920s,1925,,American biophysicist,biochemist; bioinformatician; biologist; chemist; computer scientist; physicist; university teacher,,Philadelphia,,https://en.wikipedia.org/wiki/Margaret_Oakley_Dayhoff,Médio
Ruth Dayhoff,América do Norte,,1950s,1952,,American physician and medical bioinformatician,computer scientist,,,,https://en.wikipedia.org/wiki/Ruth_Dayhoff,Médio
Rina Dechter,América do Norte,,1950s,1950,,Computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Rina_Dechter,Médio
Dorothy E. Denning,América do Norte,United States,1940s,1945,,American information security researcher,computer scientist; university teacher,,Grand Rapids,,https://en.wikipedia.org/wiki/Dorothy_E._Denning,Médio
Judith Donath,América do Norte,United States,1960s,1962,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Judith_Donath,Médio
Xin Luna Dong,América do Norte,,1970s,1975,,Chinese-American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Xin_Luna_Dong,Médio
Sarah Ann Douglas,América do Norte,United States,1940s,1944,,American computer scientist,computer scientist,,Asheville,,https://en.wikipedia.org/wiki/Sarah_Ann_Douglas,Médio
Joanne Bechta Dugan,América do Norte,,1950s,1958,,American computer engineer,computer scientist; electrical engineer; engineer,,,,https://en.wikipedia.org/wiki/Joanne_Bechta_Dugan,Médio
Cynthia Dwork,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Cynthia_Dwork,Médio
Annie Easley,América do Norte,United States,1930s,1932,,American mathematician and rocket scientist,computer scientist; engineer; mathematician,,Birmingham,,https://en.wikipedia.org/wiki/Annie_Easley,Médio
Aubrey Edwards,América do Norte,,1980s,1987,,American professional wrestling referee,referee; software engineer; video game producer,,,,https://en.wikipedia.org/wiki/Aubrey_Edwards,Médio
Susan J. Eggers,América do Norte,United States,1940s,1943,,American computer scientist,academic; computer scientist; engineer; university teacher,,Cincinnati,,https://en.wikipedia.org/wiki/Susan_J._Eggers,Médio
Tamar Eilam,América do Norte,Israel,1950s,1950,,Israeli-American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Tamar_Eilam,Médio
Susan Eisenbach,América do Norte,,1950s,1951,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Susan_Eisenbach,Médio
Natalie Enright Jerger,América do Norte,United States,1970s,1979,,American computer scientist,computer scientist; university teacher,,Plainfield,,https://en.wikipedia.org/wiki/Natalie_Enright_Jerger,Médio
Deborah Estrin,América do Norte,United States,1950s,1959,,American computer scientist,computer scientist; university teacher,,Los Angeles,,https://en.wikipedia.org/wiki/Deborah_Estrin,Médio
Thelma Estrin,América do Norte,United States,1920s,1924,,American computer scientist and engineer (1924–2014),bioinformatician; computer scientist; engineer,,New York City,,https://en.wikipedia.org/wiki/Thelma_Estrin,Médio
Joan Feigenbaum,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist; mathematician,,Brooklyn,,https://en.wikipedia.org/wiki/Joan_Feigenbaum,Médio
Jeanne Ferrante,América do Norte,United States,1940s,1949,,"Jeanne Ferrante (born January 3, 1949) is an American computer scientist active in the field of compiler technology. As a Professor of Computer Science and Engineering at the Unive...",computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Jeanne_Ferrante,Médio
Ellen Fetter,América do Norte,United States,1940s,1940,,American computer scientist and chaos theory researcher,computer scientist; programmer,,,,https://en.wikipedia.org/wiki/Ellen_Fetter,Médio
Sally Floyd,América do Norte,United States,1950s,1950,,American computer scientist (1950–2019),computer scientist,,Charlottesville,,https://en.wikipedia.org/wiki/Sally_Floyd,Médio
Ida M. Flynn,América do Norte,,1940s,1942,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Ida_M._Flynn,Médio
Stephanie Forrest,América do Norte,United States,1950s,1958,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Stephanie_Forrest,Médio
Alexandra Illmer Forsythe,América do Norte,United States,1910s,1918,,American computer scientist,computer scientist,,Newton,,https://en.wikipedia.org/wiki/Alexandra_Illmer_Forsythe,Médio
Margaret R. Fox,América do Norte,United States,1910s,1916,,American electronics engineer,computer scientist; engineer,,,,https://en.wikipedia.org/wiki/Margaret_R._Fox,Médio
Phyllis Fox,América do Norte,United States,1920s,1923,,American mathematician and computer scientist (1923–2017),artificial intelligence researcher; computer scientist; engineer; mathematician; university teacher,,Colorado,,https://en.wikipedia.org/wiki/Phyllis_Fox,Médio
Batya Friedman,América do Norte,,1950s,1957,,American professor,academic; computer scientist; information scientist; university teacher,,,,https://en.wikipedia.org/wiki/Batya_Friedman,Médio
Joyce Friedman,América do Norte,,1920s,1928,,American mathematician and computational linguist,computational linguist; computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Joyce_Friedman,Médio
Carol Frieze,América do Norte,United Kingdom,1940s,1947,,American computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Carol_Frieze,Médio
Ping Fu,América do Norte,United States,1950s,1958,,Chinese computer scientist and entrepreneur,autobiographer; businessperson; computer scientist,,Nanjing,,https://en.wikipedia.org/wiki/Ping_Fu,Médio
Timnit Gebru,América do Norte,United States,1980s,1983,,Computer scientist,AI ethicist; artificial intelligence researcher; researcher,,Addis Ababa,,https://en.wikipedia.org/wiki/Timnit_Gebru,Médio
Lisa Gelobter,América do Norte,United States,1970s,1971,,American computer scientist and technologist (born 1971),computer scientist,,,,https://en.wikipedia.org/wiki/Lisa_Gelobter,Médio
Susan Gerhart,América do Norte,United States,1950s,1950,,American computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Susan_Gerhart,Médio
Judith Gersting,América do Norte,,1940s,1940,,"American mathematician, computer scientist, and textbook author",researcher; university teacher,,,,https://en.wikipedia.org/wiki/Judith_Gersting,Médio
Ellen Gethner,América do Norte,United States,1960s,1960,,American mathematician and computer scientist (born 1960),computer scientist; mathematician,,United States,,https://en.wikipedia.org/wiki/Ellen_Gethner,Médio
